text,old_entities,new_entities,is_updated
"afrol News, 26 June-In Madagascar, ""a largely uncontrolled locust plague"" is in development, which by September is expected to infest two-thirds of the large island. If not checked, the locusts will finish off the entire crops of more than half of the population.",afrol News | ORGANIZATION_NAME; 26 June | DATE; Madagascar | LOCATION; September | DATE,afrol News | ORGANIZATION_NAME; 26 June | DATE; Madagascar | LOCATION; September | DATE,FALSE
The UN's food agency FAO today issued a warning about the development of an uncontrolled locust plague being in development in Madagascar. The agency warns that emergency action must be taken to avoid a large-scale food crisis on the island.,UN | ORGANIZATION_NAME; FAO | ORGANIZATION_NAME; Madagascar | LOCATION,UN | ORGANIZATION_NAME; FAO | ORGANIZATION_NAME; Madagascar | LOCATION,FALSE
"""Some 13 million people's food security and livelihoods are at stake, or nearly 60 percent of the island's total population. Nine million of those people are directly dependent on agriculture for food and income,"" according to FAO. The UN agency says it urgently needs funding to start emergency operations on Madagascar to prevent ""a serious food crisis.""",FAO | ORGANIZATION_NAME; UN | ORGANIZATION_NAME; Madagascar | LOCATION,FAO | ORGANIZATION_NAME; UN | ORGANIZATION_NAME; Madagascar | LOCATION,FALSE
"FAO has issued various warnings since August 2012 calling for financial support. FAO Director-General José Graziano da Silva emphasised that prevention and early action are key to meet locust plagues. ""If we do n't act now, the plague could last years and cost hundreds of millions of dollars. This could very well be a last window of opportunity to avert an extended crisis,"" he said.",FAO | ORGANIZATION_NAME; August 2012 | DATE; José Graziano da Silva | PERSON_NAME; hundreds of millions of dollars | MONEY_CURRENCY,FAO | ORGANIZATION_NAME; August 2012 | DATE; José Graziano da Silva | PERSON_NAME; hundreds of millions of dollars | MONEY_CURRENCY,FALSE
"Due to lack of efficient locust control programmes so far, the pest has already infected parts of the island. According to FAO, in parts of the country rice and maize losses due to the locusts vary from 40 to 70 percent of the crop, with 100 percent losses on certain plots.",FAO | ORGANIZATION_NAME,FAO | ORGANIZATION_NAME,FALSE
"The main food crop in Madagascar is rice, which is also on the menu of the swarming locusts. According to FAO estimates, there could be losses in rice production of up to 630,000 tonnes, or about 25 percent of total annual demands for rice in Madagascar.",Madagascar | LOCATION; FAO | ORGANIZATION_NAME,Madagascar | LOCATION; FAO | ORGANIZATION_NAME,FALSE
"The typical treatment of a locust plague is the large-scale spraying of insecticides. Swarming locusts occur periodically in most parts of semi-arid Africa, but can be controlled with preventive use of insecticides. When they first start swarming, the mighty plague is almost impossible to get under control.",Africa | LOCATION,Africa | LOCATION,FALSE
afrol News-The market in Seychelles reveals the quality and quantity of ingredients needed for a creative Creole dish. Fish most people never have seen and tens of chilli varieties set the stage.,afrol News | ORGANIZATION_NAME; Seychelles | LOCATION; Creole | NATIONALITY_RELIGION_POLITICAL,afrol News | ORGANIZATION_NAME; Seychelles | LOCATION; Creole | NATIONALITY_RELIGION_POLITICAL,FALSE
"Maria Soubana has an exotic cave restaurant called Maria's Rock Café in Baie Lazare, south on Seychelles' main island Mahé. Mostly, she serves fresh fish and meat to be fried on the table on hot lava stones. But today, Maria has agreed to show me the secrets of traditional Seychellois cuisine.",Maria Soubana | PERSON_NAME; Maria's Rock Café | FACILITY; Baie Lazare | LOCATION; Seychelles | LOCATION; Mahé | LOCATION; Maria | PERSON_NAME; Seychellois | NATIONALITY_RELIGION_POLITICAL,Maria Soubana | PERSON_NAME; Maria's Rock Café | FACILITY; Baie Lazare | LOCATION; Seychelles | LOCATION; Mahé | LOCATION; Maria | PERSON_NAME; Seychellois | NATIONALITY_RELIGION_POLITICAL,FALSE
"Everything is based on the freshest of ingredients, directly from the garden, the abundantly colourful market in Victoria or nature herself. A few of the more than ten chilli types found at the Victoria market are also seen in Maria's kitchen. The pimente kabrí, from her mother's garden, would be perfect for the upcoming octopus curry in coconut meal, Maria discloses.",Victoria | LOCATION; Maria | PERSON_NAME,Victoria | LOCATION; Victoria Market | FACILITY; Maria | PERSON_NAME,TRUE
"Cooking the traditional Seychellois way is time-consuming, revealing that housewives in earlier days had long working days, needed to use what nature and their gardens gave them and had little to help them with. It is a cuisine born out of French immigrant's traditions, the archipelago's isolation making it dependent on local produce and out of poverty.",Seychellois | NATIONALITY_RELIGION_POLITICAL; French | NATIONALITY_RELIGION_POLITICAL,Seychellois | NATIONALITY_RELIGION_POLITICAL; French | NATIONALITY_RELIGION_POLITICAL,FALSE
"Only the making of coconut milk, which barely flavours dishes, is hard work and time consuming, with a special device to scrape out the coco mass from the nut ; the watering of this mass and its final hand squeezing and massaging to produce the ""milk"" .",,,FALSE
"""Freshly made coconut milk is simply much tastier than the canned you buy in the shop,"" Maria holds, adding that you will not find any young people preparing their meals in such an elaborate way today. Indeed, Seychellois youth were too much into French fries and other junk food, forgetting traditional cooking, she complains.",Maria | PERSON_NAME; Seychellois | NATIONALITY_RELIGION_POLITICAL; French | NATIONALITY_RELIGION_POLITICAL,Maria | PERSON_NAME; Seychellois | NATIONALITY_RELIGION_POLITICAL; French | NATIONALITY_RELIGION_POLITICAL,FALSE
"But when the ground work of preparing ingredients is done-including the coconut milk and the previous beating and long cooking of the octopus to make it tender-the traditional octopus curry is quickly cooked, leaving many options for short-cuts if wanting to copy the dish.",,,FALSE
