text,old_entities,new_entities,is_updated
"Iran has long been an influential power in its surrounding region, with a focus on the Arab states to its west, and support for allied governments and non-state actors in them.",Iran | LOCATION; Arab | NATIONALITY_RELIGION_POLITICAL,Iran | LOCATION; Arab | NATIONALITY_RELIGION_POLITICAL; Arab states | LOCATION,TRUE
"However, a visit by the President of Tajikistan, Emomali Rahmon, to Tehran on May 30 and the opening of a new Iranian drone factory in the Tajik capital Dushanbe two weeks earlier, are evidence of Iran's “look to the East” foreign policy orientation, as the country pursues greater engagement with non-Western countries.",Tajikistan | LOCATION; Emomali Rahmon | PERSON_NAME; Tehran | LOCATION; May 30 | DATE; Iranian | NATIONALITY_RELIGION_POLITICAL; Tajik | NATIONALITY_RELIGION_POLITICAL; Dushanbe | LOCATION; Iran | LOCATION; Western | NATIONALITY_RELIGION_POLITICAL,Tajikistan | LOCATION; Emomali Rahmon | PERSON_NAME; Tehran | LOCATION; May 30 | DATE; Iranian | NATIONALITY_RELIGION_POLITICAL; Tajik | NATIONALITY_RELIGION_POLITICAL; Dushanbe | LOCATION; Iran | LOCATION; East | NATIONALITY_RELIGION_POLITICAL; non-Western | NATIONALITY_RELIGION_POLITICAL,TRUE
"The new factory in Tajikistan will manufacture the Ababil-2 drone, which Iran says has a range of 200 km (124 miles).",Tajikistan | LOCATION; Ababil | MISCELLANEOUS; Iran | LOCATION,Tajikistan | LOCATION; Ababil-2 | BRAND; Iran | LOCATION,TRUE
"The factory is the first such facility that Iran has built in a foreign country, and highlights Tehran's ability to “export military equipment to allied and friendly countries to help increase security and sustainable peace”, General Mohammad Hossein Bagheri, the Iranian armed forces' chief of staff, said at the inauguration on May 17.",Iran | LOCATION; Tehran | LOCATION; Mohammad Hossein Bagheri | PERSON_NAME; Iranian | NATIONALITY_RELIGION_POLITICAL; May 17 | DATE,Iran | LOCATION; Tehran | LOCATION; Mohammad Hossein Bagheri | PERSON_NAME; Iranian | NATIONALITY_RELIGION_POLITICAL; May 17 | DATE,FALSE
"Iran's drones have been a source of influence in Arab countries, such as Lebanon and Yemen, and have been critical to Tehran's efforts to strengthen its position and those of its regional allies and surrogates, while heightening the concerns of the United States, Israel, and some Gulf Cooperation Council (GCC) countries.",Iran | LOCATION; Arab | NATIONALITY_RELIGION_POLITICAL; Lebanon | LOCATION; Yemen | LOCATION; Tehran | LOCATION; United States | LOCATION; Israel | LOCATION; Gulf Cooperation Council | ORGANIZATION_NAME; GCC | ORGANIZATION_NAME,Iran | LOCATION; Arab | NATIONALITY_RELIGION_POLITICAL; Lebanon | LOCATION; Yemen | LOCATION; Tehran | LOCATION; United States | LOCATION; Israel | LOCATION; Gulf Cooperation Council | ORGANIZATION_NAME; GCC | ORGANIZATION_NAME,FALSE
"Tajikistan, however, lies not in the Middle East, but in Central Asia. Yet, since Tajikistan's 1991 independence, Iran has had mostly good ties with Dushanbe.",Tajikistan | LOCATION; Middle East | LOCATION; Central Asia | LOCATION; 1991 | DATE; Iran | LOCATION; Dushanbe | LOCATION,Tajikistan | LOCATION; Middle East | LOCATION; Central Asia | LOCATION; 1991 | DATE; Iran | LOCATION; Dushanbe | LOCATION,FALSE
"Similar languages, and strong cultural bonds, have been critical to Iranian-Tajik relations.",Iranian | NATIONALITY_RELIGION_POLITICAL; Tajik | NATIONALITY_RELIGION_POLITICAL,Iranian | NATIONALITY_RELIGION_POLITICAL; Tajik | NATIONALITY_RELIGION_POLITICAL,FALSE
"“As the poorest of the former Soviet republics, Tajikistan was happy to gain new international partners to help reduce its dependence on Russia, while for Iran, it provided an opening to central Asia and the reinvigoration of a wider Persian cultural space, which helped combat Western-led efforts at isolating the Islamic Republic,” Edward Wastnidge, who lectures on international studies and politics at the British Open University, told Al Jazeera.",Soviet | NATIONALITY_RELIGION_POLITICAL; Tajikistan | LOCATION; Russia | LOCATION; Iran | LOCATION; Asia | LOCATION; Persian | NATIONALITY_RELIGION_POLITICAL; Western | LOCATION; Islamic Republic | ORGANIZATION_NAME; Edward Wastnidge | PERSON_NAME; British Open University | ORGANIZATION_NAME; Al Jazeera | ORGANIZATION_NAME,Soviet | NATIONALITY_RELIGION_POLITICAL; Tajikistan | LOCATION; Russia | LOCATION; Iran | LOCATION; Asia | LOCATION; Persian | NATIONALITY_RELIGION_POLITICAL; Western | NATIONALITY_RELIGION_POLITICAL; Islamic Republic | ORGANIZATION_NAME; Edward Wastnidge | PERSON_NAME; British Open University | ORGANIZATION_NAME; Al Jazeera | ORGANIZATION_NAME,TRUE
"“For example, former [Iranian] President Ahmadinejad sought to establish a 'Union of Persian Speaking Nations' among Iran, Afghanistan and Tajikistan, though it was more a declaration of common cultural bonds than anything substantive,” Wastnidge added.",Iranian | NATIONALITY_RELIGION_POLITICAL; Ahmadinejad | PERSON_NAME; Union of Persian Speaking Nations | ORGANIZATION_NAME; Iran | LOCATION; Afghanistan | LOCATION; Tajikistan | LOCATION; Wastnidge | PERSON_NAME,Iranian | NATIONALITY_RELIGION_POLITICAL; Ahmadinejad | PERSON_NAME; Union of Persian Speaking Nations | ORGANIZATION_NAME; Iran | LOCATION; Afghanistan | LOCATION; Tajikistan | LOCATION; Wastnidge | PERSON_NAME,FALSE
"Although relations took a downturn in the mid-2010s, ties once again improved, and have led to bilateral trade more than doubling between 2020 and 2021, to $121m.",2010 | DATE; 2020 | DATE; 2021 | DATE; $121 m | MONEY_CURRENCY,mid-2010s | DATE | DATE; 2020 | DATE; 2021 | DATE; $121m | MONEY_CURRENCY,TRUE
