text,old_entities,new_entities,is_updated
Federal Minister for Indigenous Australians Linda Burney has given the strongest indication yet that a truth and treaty process is in the works.,Indigenous Australians | NATIONALITY_RELIGION_POLITICAL; Linda Burney | PERSON_NAME,Indigenous Australians | NATIONALITY_RELIGION_POLITICAL; Linda Burney | PERSON_NAME,FALSE
"Speaking at the Garma Festival in north-east Arnhem Land, Ms Burney said the public should not forget that the Uluá ¹ Ÿu Statement from the Heart was not only about a referendum.",Garma Festival | MISCELLANEOUS; north-east Arnhem Land | LOCATION; Burney | PERSON_NAME; Uluá ¹ Ÿu Statement | MISCELLANEOUS,Garma Festival | MISCELLANEOUS; north-east Arnhem Land | LOCATION; Burney | PERSON_NAME; Uluá ¹ Ÿu Statement | MISCELLANEOUS,FALSE
"""So many parts of this country [are] deciding how they're going to explore the truth,"" she said.",,,FALSE
""" When we think about the effect that a national truth-telling process would have on Australia, it's remarkable.",Australia | LOCATION,Australia | LOCATION,FALSE
"""One of the things that we're thinking about at the moment is what form that would take.""",,,FALSE
""" I see this as, you know, a thousand flowers blooming.",,,FALSE
"""The Uluru Statement talks about three things: It talks about an enshrined Voice in the Constitution, but it also talks about the establishment of a Makarrata commission that would have two jobs â €” treaty and agreement-making, and also truth-telling,"" she said.",Uluru Statement | MISCELLANEOUS; Voice | ORGANIZATION_NAME; Makarrata | MISCELLANEOUS,Uluru Statement | MISCELLANEOUS; Makarrata commission | ORGANIZATION_NAME,TRUE
"Ms Burney said she was ""thrilled"" with the progress that has been made with the announcement of the proposed question and constitutional changes.",Burney | PERSON_NAME,Burney | PERSON_NAME,FALSE
"""The Prime Minister was very clear that we will embrace and implement the Uluru Statement in full,"" she said.",Uluru Statement | MISCELLANEOUS,Uluru Statement | MISCELLANEOUS,FALSE
"""We will not be rushed. We will do it in consultation. We will build consensus and part of that is truth-telling.""",,,FALSE
Individual truth-telling processes are underway in several states and communities.,,,FALSE
Ms Burney said there were excellent examples and frameworks already evident that a Makarrata could be modelled on.,Burney | PERSON_NAME; Makarrata | MISCELLANEOUS,Burney | PERSON_NAME; Makarrata | MISCELLANEOUS,FALSE
"""The best example that I can think of is what has happened at Myall Creek in north-western New South Wales,"" Ms Burney said.",Myall Creek | LOCATION; New South Wales | LOCATION; Burney | PERSON_NAME,Myall Creek | LOCATION; north-western New South Wales | LOCATION; Burney | PERSON_NAME,TRUE
""" Descendants of those [who] did the massacring, and descendants of those that were massacred, have come together to create a memorial.",,,FALSE
""" That has meant, for the Gwydir Shire, [it] has been healing and coming to terms with a terrible event of the past.",Gwydir Shire | LOCATION,Gwydir Shire | LOCATION,FALSE
"""It's not about apportioning guilt. It's not about blame. It's about that we all can share in the whole story of this country.""",,,FALSE
It is difficult to articulate the level of collective frustration and anxiety that has built up in Aboriginal and Torres Strait Islander Australia as government after government has kicked the can down the road — talking big but delivering little to empower First Australians in the Constitution.,Aboriginal and Torres Strait Islander | NATIONALITY_RELIGION_POLITICAL; Australia | LOCATION; First Australians | NATIONALITY_RELIGION_POLITICAL,Aboriginal and Torres Strait Islander | NATIONALITY_RELIGION_POLITICAL; Australia | LOCATION; First Australians | NATIONALITY_RELIGION_POLITICAL,FALSE
"Report after report, consultation after consultation, more talks, empty rhetoric, and policy paralysis has been the hallmark of Canberra. There's been a cognitive dissonance — a lot of talk about the plight of the world's oldest surviving culture but little, materially, to rectify it.",Canberra | LOCATION,Canberra | LOCATION,FALSE
"The last prime minister to come to the Garma Festival before Anthony Albanese's arrival this weekend was Malcolm Turnbull, who broke hearts when he described a Voice to Parliament as a so-called ""third chamber"" . As a moderate Liberal prime minister, there was great hope that he would deliver.",Garma Festival | MISCELLANEOUS; Anthony Albanese | PERSON_NAME; Malcolm Turnbull | PERSON_NAME; Voice to Parliament | ORGANIZATION_NAME; Liberal | NATIONALITY_RELIGION_POLITICAL,Garma Festival | MISCELLANEOUS; Anthony Albanese | PERSON_NAME; Malcolm Turnbull | PERSON_NAME; Voice to Parliament | MISCELLANEOUS; Liberal | NATIONALITY_RELIGION_POLITICAL,TRUE
"There was also great hope that his successor, Scott Morrison, might have a change of heart — but that never came. He adopted rhetoric that sounded like something had changed ; he wanted to do things ""with"" Indigenous people not ""to"" them. But he snubbed the most significant meeting of Black Australia, failing to show up to Garma and listen to Aboriginal voices on their existential angst about their culture, languages and law.",Scott Morrison | PERSON_NAME; Indigenous | NATIONALITY_RELIGION_POLITICAL; Black Australia | MISCELLANEOUS; Garma | MISCELLANEOUS; Aboriginal | NATIONALITY_RELIGION_POLITICAL,Scott Morrison | PERSON_NAME; Indigenous | NATIONALITY_RELIGION_POLITICAL; Black Australia | MISCELLANEOUS; Garma | MISCELLANEOUS; Aboriginal | NATIONALITY_RELIGION_POLITICAL,FALSE
"And it is existential. The Yolngu people worry about the maintenance of their culture, language and laws. Without a voice, they are worried that they will continue to go voiceless on their own country.",Yolngu | NATIONALITY_RELIGION_POLITICAL,Yolngu | NATIONALITY_RELIGION_POLITICAL,FALSE
"And so Indigenous leaders and communities have waited, enduring the pain of the pandemic and waiting — always waiting — to take their rightful place in the nation we call Australia. Their patience is unparalleled, their resilience remarkable.",Indigenous | NATIONALITY_RELIGION_POLITICAL; Australia | LOCATION,Indigenous | NATIONALITY_RELIGION_POLITICAL; Australia | LOCATION,FALSE
"With Prime Minister Anthony Albanese's attendance at Garma, a great sense of elation that maybe, perhaps, something might be about to change has taken hold.",Anthony Albanese | PERSON_NAME; Garma | MISCELLANEOUS,Anthony Albanese | PERSON_NAME; Garma | MISCELLANEOUS,FALSE
