text,old_entities,new_entities,is_updated
"President Jair Bolsonaro once again questioned the Brazilian electoral system on Monday, less than three months before the presidential election that all polls predict he will lose.",Jair Bolsonaro | PERSON_NAME; Brazilian | NATIONALITY_RELIGION_POLITICAL; Monday | DATE,Jair Bolsonaro | PERSON_NAME; Brazilian | NATIONALITY_RELIGION_POLITICAL; Monday | DATE,FALSE
"""We want to correct the flaws, we want transparency, a real democracy,"" said the far-right leader, who has repeatedly sought to cast doubt over the country's electronic voting system.",,,FALSE
"He continued to blast the voting system in a speech that lasted nearly an hour at the presidential palace in Brasilia, in front of several dozen ambassadors invited specifically to listen to him discuss the topic.",Brasilia | LOCATION,Brasilia | LOCATION,FALSE
"Notable invitees included ambassadors from France and Spain, among others.",France | LOCATION; Spain | LOCATION,France | LOCATION; Spain | LOCATION,FALSE
Voters in Brazil cast their ballots electronically at voting stations.,Brazil | LOCATION,Brazil | LOCATION,FALSE
"But Bolsonaro has long argued for a paper printout to be made of each vote cast, suggesting the absence of a paper trail makes cheating easier.",Bolsonaro | PERSON_NAME,Bolsonaro | PERSON_NAME,FALSE
"He has not provided evidence of fraud, and the Superior Electoral Court insists the system is fair and transparent.",Superior Electoral Court | ORGANIZATION_NAME,Superior Electoral Court | ORGANIZATION_NAME,FALSE
"""We are three months away from the election,"" Bolsonaro said. ""We cannot hold elections amid mistrust.""",Bolsonaro | PERSON_NAME,Bolsonaro | PERSON_NAME,FALSE
His repeated questioning of the system has prompted the Supreme Court to open an investigation into Bolsonaro.,Supreme Court | ORGANIZATION_NAME; Bolsonaro | PERSON_NAME,Supreme Court | ORGANIZATION_NAME; Bolsonaro | PERSON_NAME,FALSE
Bolsonaro is broadly projected to lose in October to leftist former president Luiz Inácio Lula da Silva.,Bolsonaro | PERSON_NAME; October | DATE; Luiz Inácio Lula da Silva | PERSON_NAME,Bolsonaro | PERSON_NAME; October | DATE; Luiz Inácio Lula da Silva | PERSON_NAME,FALSE
Da Silva dismissed Bolsonaro's speech as lies aimed at deflecting attention from real problems facing the country.,Da Silva | PERSON_NAME; Bolsonaro | PERSON_NAME,Da Silva | PERSON_NAME; Bolsonaro | PERSON_NAME,FALSE
"""It's a shame that Brazil does n't have a president who calls 5 0 am bassadors to talk about something in the interest of the country,"" Da Silva tweeted later Monday. ""Employment, development, or the fight against hunger, for example. Instead, he tells lies against our democracy.""",Brazil | LOCATION; Da Silva | PERSON_NAME; Monday | DATE,Brazil | LOCATION; Da Silva | PERSON_NAME; Monday | DATE,FALSE
"Bolsonaro's comments have led analysts to fear that he may refuse to accept defeat in a scenario similar to the January 2021 invasion of the US Capitol by supporters of Donald Trump, a hero of Bolsonaro's.",Bolsonaro | PERSON_NAME; January 2021 | DATE; US Capitol | FACILITY; Donald Trump | PERSON_NAME,Bolsonaro | PERSON_NAME; January 2021 | DATE; US Capitol | FACILITY; Donald Trump | PERSON_NAME,FALSE
"At a Senate hearing last week, defence minister Paulo Sérgio Nogueira proposed holding a ""parallel vote"" with a special ballot box for paper ballots.",Senate | ORGANIZATION_NAME; Paulo Sérgio Nogueira | PERSON_NAME,Senate | ORGANIZATION_NAME; Paulo Sérgio Nogueira | PERSON_NAME,FALSE
"In his first seven months representing La Libertad Avanza in the lower house Chamber of Deputies, Javier Milei has only missed one session of the five so far – however, the economist and libertarian has skipped half the votes until now.",La Libertad Avanza | ORGANIZATION_NAME; Chamber of Deputies | ORGANIZATION_NAME; Javier Milei | PERSON_NAME; libertarian | NATIONALITY_RELIGION_POLITICAL,La Libertad Avanza | ORGANIZATION_NAME; Chamber of Deputies | ORGANIZATION_NAME; Javier Milei | PERSON_NAME; libertarian | NATIONALITY_RELIGION_POLITICAL,FALSE
"Neither has he presented a bill, nor signed up to a legislative committee.",,,FALSE
"In a very particular year for Congress, legislative activity in general has suffered due to multiple factors. But until now there have been five plenary sessions and 38 votes, many of them on bills key to development.",Congress | ORGANIZATION_NAME,Congress | ORGANIZATION_NAME,FALSE
"One of them was tax relief for employees, approved by the lower house in mid-June. Milei was not in Congress that day because, as his entourage reminded Perfil, he had a ""prior commitment"" to travel to Colombia to give three lectures.",June | DATE; Milei | PERSON_NAME; Congress | ORGANIZATION_NAME; Perfil | ORGANIZATION_NAME; Colombia | LOCATION,June | DATE; Milei | PERSON_NAME; Congress | ORGANIZATION_NAME; Perfil | ORGANIZATION_NAME; Colombia | LOCATION,FALSE
