text,old_entities,new_entities,is_updated
Iran to propel brand-new satellite into space by year's end,Iran | LOCATION,Iran | LOCATION,FALSE
"The statement was made on Sunday on the sidelines of the 12th Malek Ashtar Festival in Tehran by Brigadier General Amir Ali Hajizadeh, chief of the IRGC Aerospace Division.",Sunday | DATE; 12th Malek Ashtar Festival | MISCELLANEOUS; Tehran | LOCATION; Amir Ali Hajizadeh | PERSON_NAME; IRGC Aerospace Division | ORGANIZATION_NAME,Sunday | DATE; 12th Malek Ashtar Festival | MISCELLANEOUS; Tehran | LOCATION; Amir Ali Hajizadeh | PERSON_NAME; IRGC Aerospace Division | ORGANIZATION_NAME,FALSE
Hajizadeh said the Qaem satellite carrier will be used to launch the new home-grown satellite into space.,Hajizadeh | PERSON_NAME; Qaem | LOCATION,Hajizadeh | PERSON_NAME; Qaem | LOCATION,FALSE
He added this will be a continuation of the country's achievements in the field of aerospace technology.,,,FALSE
The IRGC Aerospace Division commander also said the adversary now acknowledges Iran's military capabilities.,IRGC Aerospace Division | ORGANIZATION_NAME; Iran | LOCATION,IRGC Aerospace Division | ORGANIZATION_NAME; Iran | LOCATION,FALSE
"It will be Iran's third military satellite into space. The nation put its second satellite, Nour-2, into orbit in March 2022, and its first spacecraft, Nour-1, in April 2020.",Iran | LOCATION; Nour-2 | FACILITY; March 2022 | DATE; Nour-1 | FACILITY; April 2020 | DATE,Iran | LOCATION; Nour-2 | FACILITY; March 2022 | DATE; Nour-1 | FACILITY; April 2020 | DATE,FALSE
"The orbiter, which was charged with conducting reconnaissance missions, was launched from a launchpad located in Iran's Dasht-e Kavir desert aboard the domestically produced satellite carrier Qassed. It traveled 6.7 km /s for 480 seconds before entering orbit at a 500 km height.",Iran | LOCATION; Dasht-e Kavir | LOCATION; Qassed | MISCELLANEOUS,Iran | LOCATION; Dasht-e Kavir | LOCATION; Qassed | MISCELLANEOUS,FALSE
"Iran was the first Muslim nation to send satellite into space, according to Major General Hossein Salami, who was speaking on the sidelines of the launch of Nour-2 at the time.",Iran | LOCATION; Muslim | NATIONALITY_RELIGION_POLITICAL; Hossein Salami | PERSON_NAME; Nour-2 | FACILITY,Iran | LOCATION; Muslim | NATIONALITY_RELIGION_POLITICAL; Hossein Salami | PERSON_NAME; Nour-2 | FACILITY,FALSE
"The accomplishment, he said, shows Iran's victory over its adversaries in the technological war who had attempted to obstruct the country's progress.",Iran | LOCATION,Iran | LOCATION,FALSE
Nour-1 is now 425 kilometers away from the planet and in an orbit around the earth.,Nour-1 | FACILITY,Nour-1 | FACILITY,FALSE
Hajizadeh said that thousands of young experts are making contributions to Iran's aerospace industry in his Sunday speech.,Hajizadeh | PERSON_NAME; Iran | LOCATION; Sunday | DATE,Hajizadeh | PERSON_NAME; Iran | LOCATION; Sunday | DATE,FALSE
"The nation's adversaries now recognize its advancements in aerospace and air defense, he stated.",,,FALSE
The senior commander pointed to General Kenneth McKenzie's comments last year in which he acknowledged that Iran's deployment of drones had rendered the U. S. operating without the complete air supremacy for the first time since the Korean War.,Kenneth McKenzie | PERSON_NAME; Iran | LOCATION; U. S. | LOCATION; Korean War | MISCELLANEOUS,Kenneth McKenzie | PERSON_NAME; Iran | LOCATION; U. S. | LOCATION; Korean War | MISCELLANEOUS,FALSE
"“Enemies say Iran's aerospace, drone, and missile programs are even more important than its nuclear activities,” he pointed out.",Iran | LOCATION,Iran | LOCATION,FALSE
"“The enemy admits that the policy of 'maximum pressure' and its imposition of crippling sanctions have faced with ignominious defeat,” Hajizadeh underlined.",Hajizadeh | PERSON_NAME,Hajizadeh | PERSON_NAME,FALSE
The commander of the IRGC Aerospace force said that Iran is leading the world in the development of surface-to-air missiles based on unmanned aerial vehicles. He also credited the Leader of the Islamic Revolution Ayatollah Seyed Ali Khamenei's prudence for the nation's advancement.,IRGC Aerospace force | ORGANIZATION_NAME; Iran | LOCATION; Islamic Revolution | ORGANIZATION_NAME; Ayatollah Seyed Ali Khamenei | PERSON_NAME,IRGC Aerospace force | ORGANIZATION_NAME; Iran | LOCATION; Islamic Revolution | ORGANIZATION_NAME; Ayatollah Seyed Ali Khamenei | PERSON_NAME,FALSE
"Hajizadeh went on to say that “if today the enemies are worried about this power and are calling for negotiations and are looking for a resolution in Congress to contain Iran, all this is the result of the implementation of these measures.”",Hajizadeh | PERSON_NAME; Congress | ORGANIZATION_NAME; Iran | LOCATION,Hajizadeh | PERSON_NAME; Congress | ORGANIZATION_NAME; Iran | LOCATION,FALSE
